COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 28/11/2025

DATOS DISPONIBLES EN LA BASE DE DATOS A: NOVEMBER DE 2025;
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS

 ESTACIÓN  : 32124
 NOMBRE    : MOMAX
 ESTADO    : ZACATECAS
 MUNICIPIO : MOMAX
 SITUACIÓN : OPERANDO
 CVE-OMM   :
 LATITUD   : 21.92333333 °
 LONGITUD  : -103.3163889 °
 ALTITUD   : 1649 msnm




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1979-11-02	0	NULO	NULO	NULO
1979-11-03	0	NULO	28	2
1979-11-04	0	NULO	30	5
1979-11-05	0	NULO	30	6
1979-11-06	0	NULO	29	3.5
1979-11-07	0	NULO	28	4
1979-11-08	0	NULO	27	4
1979-11-09	0	NULO	27	3
1979-11-10	0	NULO	27	2
1979-11-11	0	NULO	26	2
1979-11-12	0	NULO	29	0
1979-11-13	0	NULO	27.5	1
1979-11-14	0	NULO	27	3
1979-11-15	0	NULO	26	5
1979-11-16	0	NULO	27	4
1979-11-17	0	NULO	25	3
1979-11-18	0	NULO	28	2.5
1979-11-19	0	NULO	27	0
1979-11-20	0	NULO	25.5	3
1979-11-21	0	NULO	29	3
1979-11-22	0	NULO	24.5	2
1979-11-23	0	NULO	25	3
1979-11-24	0	NULO	25	3
1979-11-25	0	NULO	27	-4
1979-11-26	0	NULO	28	-7.5
1979-11-27	0	NULO	27	-5.5
1979-11-28	0	NULO	29	-5
1979-11-29	0	NULO	28	-5.5
1979-11-30	0	NULO	26	-1
1979-12-01	42	NULO	25	1.5
1979-12-02	16	NULO	18	5
1979-12-03	0	NULO	17	6
1979-12-04	0	NULO	21	4
1979-12-05	0	NULO	21.5	6
1979-12-06	0	NULO	22	5
1979-12-07	0	NULO	23.5	1
1979-12-08	0	NULO	25	1
1979-12-09	0	NULO	26	6
1979-12-10	0	NULO	25	4
1979-12-11	0	NULO	25.5	5
1979-12-12	3	NULO	25	7
1979-12-13	0	NULO	25	6
1979-12-14	0	NULO	25	6.5
1979-12-15	0	NULO	24	8
1979-12-16	0	NULO	26	9
1979-12-17	0	NULO	24	10
1979-12-18	0	NULO	24	8.5
1979-12-19	0	NULO	25	6.5
1979-12-20	0	NULO	25	8
1979-12-21	0	NULO	26	6
1979-12-22	0	NULO	25	5.5
1979-12-23	0	NULO	25	7
1979-12-24	0	NULO	27	-1.5
1979-12-25	0	NULO	27	2
1979-12-26	0	NULO	21	1
1979-12-27	0	NULO	24.5	-5
1979-12-28	0	NULO	25	2
1979-12-29	0	NULO	25	-3
1979-12-30	0	NULO	25	-1.5
1979-12-31	0	NULO	25.5	-3
1980-03-01	0	NULO	27	0
1980-03-02	0	NULO	27	0
1980-03-03	0	NULO	28	2.5
1980-03-04	0	NULO	28	3
1980-03-05	0	NULO	29	1
1980-03-06	0	NULO	30	0.5
1980-03-07	0	NULO	30	0
1980-03-08	0	NULO	32	1
1980-03-09	0	NULO	33	3
1980-03-10	0	NULO	34	3.5
1980-03-11	0	NULO	34	5.5
1980-03-12	0	NULO	34	6
1980-03-13	0	NULO	33	2
1980-03-14	0	NULO	32.5	4
1980-03-15	0	NULO	31	6
1980-03-16	0	NULO	34	6
1980-03-17	0	NULO	31	4
1980-03-18	0	NULO	30	6
1980-03-19	0	NULO	29	3.5
1980-03-20	0	NULO	29	6
1980-03-21	0	NULO	32	4
1980-03-22	0	NULO	31	5
1980-03-23	0	NULO	30	7
1980-03-24	0	NULO	32	4
1980-03-25	0	NULO	29.5	7
1980-03-26	0	NULO	28	7.5
1980-03-27	0	NULO	27	8.5
1980-03-28	0	NULO	29	5
1980-03-29	0	NULO	28	9
1980-03-30	0	NULO	29	3
1980-03-31	0	NULO	29	1
1980-04-01	0	NULO	30	3
1980-04-02	0	NULO	31	10
1980-04-03	0	NULO	33	2
1980-04-04	0	NULO	35	7
1980-04-05	0	NULO	34	8
1980-04-06	0	NULO	33	5
1980-04-07	0	NULO	31.5	5
1980-04-08	0	NULO	34	6
1980-04-09	0	NULO	33	6
1980-04-10	0	NULO	31	4
1980-04-11	0	NULO	29	2
1980-04-12	0	NULO	28	4
1980-04-13	0	NULO	28	3.5
1980-04-14	0	NULO	28.5	4
1980-04-15	0	NULO	31	0
1980-04-16	0	NULO	32	2
1980-04-17	0	NULO	33.5	4
1980-04-18	0	NULO	31	8
1980-04-19	0	NULO	32	12
1980-04-20	0	NULO	30	12
1980-04-21	1	NULO	22	13
1980-04-22	0	NULO	26	10
1980-04-23	0	NULO	30	5
1980-04-24	0	NULO	28	7
1980-04-25	0	NULO	30	1.5
1980-04-26	0	NULO	32	0
1980-04-27	0	NULO	32	3.5
1980-04-28	0	NULO	33	7
1980-04-29	0	NULO	32	7
1980-04-30	0	NULO	28	11
1980-05-01	0	3.5	30	11
1980-05-02	0	7.9	29	10
1980-05-03	0	8.3	31	8
1980-05-04	0	11.9	32.5	11
1980-05-05	0	7.9	33	12
